Sample,Ctrl_BL6_db._2273,Ctrl_BL6_db._2274,Ctrl_BL6_db._2275,Ctrl_BL6_db._2279,HF_BL6_db._2286,HF_BL6_db._2287,HF_BL6_db._2288,HF_BL6_db._2289
Label,CT,CT,CT,CT,HF,HF,HF,HF
CE 22_6,10006.15854,11187.53808,27087.24618,8934.993797,24649.09177,23275.16165,25383.046,7149.156982
CE 16_2,877.9117948,6327.548505,1691.36558,2000.996571,1713.084195,872.5836308,4374.255824,235.5628189
CE 18_2,77465.72911,94492.26419,131766.078,33126.76731,291856.4218,148556.1729,153308.9515,100624.1938
CE 16_0,20298.27692,20966.67895,30806.72136,22402.6306,19512.99384,19758.16387,25996.51896,17000.89587
DG 38_4,3843258.905,3027925.507,2389652.474,4807768.797,4715436.868,3814050.11,3782002.023,5569726.777
DG 40_6,2332220.59,1297147.511,612127.5264,1971496.156,565824.0629,580487.9696,1635724.854,2197460.429
DG 34_2,20445855.17,43191315.13,29312048.03,42353328.03,17045111.34,19111461,23358646.1,29744643.38
DG 37_4,100655.5888,44422.15866,52332.01587,85381.31835,94563.18358,69033.57783,91161.11089,82235.90334
DG 40_8,1438710.583,797901.0412,393201.7559,924530.2888,1019093.003,955968.2811,2049593.788,2811558.843
DG 32_2,444455.5014,905039.7849,619358.0551,980370.2481,130249.3673,188328.8879,295178.7373,766697.4505
DG 32_0,397147.5275,335076.7084,661746.9317,1074635.753,370235.8908,486487.3753,458984.0239,710988.2229
DG 38_2,1489834.496,1693872.961,634640.0082,4055056.426,958915.0685,870269.2965,1173769.296,1262477.056
DG 34_4,102143.7662,169758.9953,75808.246,102253.9408,41376.14411,80933.41739,145506.1897,195026.403
DG 36_4,11832405.4,9124295.352,6304229.239,9618085.788,12466148.25,12282827.21,17565711.39,22569332.21
DG 35_2,490774.1816,512397.3494,313911.2266,1246640.163,297454.6101,392814.7003,464153.5744,1211871.054
DG 42_8,306494.6401,235127.5751,132639.1198,283076.8517,235771.5188,198710.8731,287257.4941,464510.9047
DG 38_6,8535224.353,6654209.469,6907865.628,12480283.33,4928630.313,5253793.839,8045026.94,14022062.21
DG 36_2,18368095.49,31335385.04,28771816.57,43043157.82,11531023.28,14020028.06,18669933.97,24355616.47
DG 40_4,143016.5832,112155.7164,84745.74018,336605.0814,166230.0404,137285.1469,138687.5169,172715.1775
DG 34_0,109343.0442,48094.80451,107698.7545,271321.494,196748.5238,189003.1409,153722.415,211044.697
DG 33_2,283994.1425,263562.7615,111800.965,429253.354,259048.4103,258754.2186,298921.0314,594792.9906
DG 42_10,190586.4671,70918.06507,69638.56118,126815.7045,65607.79262,82678.74205,127936.2038,190736.8598
DG 42_6,146001.4776,112047.9549,58665.24431,345544.5431,71214.88396,45373.5845,89584.31692,106541.9504
DG 44_10,114503.5839,96204.24541,61500.32106,87193.46839,109521.2053,100812.5912,104656.5773,118440.1294
DG 26_2,43431.86654,11053.60172,8385.957211,11863.63765,8568.547767,3749.587636,23016.09444,3358.732948
DG 30_0,61187.97845,68302.04444,92412.81255,249288.6284,22835.50215,44961.05438,27309.09745,131654.6075
DG 37_2,102905.645,148990.7502,113227.7429,315740.8697,65472.19742,72670.16827,74063.25727,131884.821
DG 39_4,18109.11,42097.2466,36249.19487,235521.3901,11002.35187,64713.09347,12633.62111,60359.3943
DG 40_2,131428.6884,152357.8762,52916.60413,376993.7648,118943.3069,126231.1021,117333.1382,229584.2636
DG 36_6,107539.8878,42767.92002,22673.78973,58571.75446,62662.05823,102544.577,142425.9399,181360.4985
DG 42_2,32979.65609,26048.24214,26513.04492,33578.00497,30627.20117,23493.04843,21111.0071,13912.44369
DG 36_0,23560.82107,18661.69737,19366.67177,100240.2593,43985.09355,58373.09519,38303.11641,74276.51716
DG 38_0,21905.66889,17689.72108,2462.941161,24942.04952,19697.87072,18697.43538,10195.81883,17203.6536
DG 33_0,9173.217566,16672.73089,12114.30423,40617.20672,10012.59916,15326.46071,15134.42571,18854.24969
DG 39_6,52252.52711,46987.12832,3909.356767,22392.62771,26789.86335,12280.73317,9488.925493,2571.676288
DG 32_6,15213.28756,9899.184524,3589.492637,2812.113847,4315.87623,12749.10231,13800.17986,1497.817216
DG 30_2,24393.86816,21273.16824,13581.19356,11049.1253,14907.10493,9616.182067,38153.68219,9519.553033
DG 37_6,14182.10929,28775.0351,12830.74165,22751.91659,21364.63349,21601.51874,33937.89663,370744.1154
DG 44_6,11340.05587,6871.610459,6115.933834,8560.477727,3410.608215,8619.785284,11296.20505,7976.089997
DG 28_2,30143.11306,8812.887433,14180.33245,8696.544534,4622.534848,8756.343161,18946.23224,9829.962057
DG 39_2,66562.3749,108136.5788,29616.34599,110707.1322,54930.49889,26516.00459,54525.68489,44675.66475
DG 44_8,16325.96341,18212.45301,4618.280345,13573.97961,8333.304731,12561.81672,19003.96704,16716.2536
DG 35_4,27001.62766,13163.53286,6546.611635,13693.39723,26279.15448,39736.66992,41385.81072,121895.4142
lysoPC 20_4,11306684.27,7655802.229,5092986.664,10116973.94,6725323.859,6942095.759,5405103.057,5681601.837
lysoPC 18_2,9196401.891,8577295.213,3073958.73,6376125.085,6294919.771,6492785.13,7720262.991,3908161.705
lysoPC 22_6,7240597.034,4664449.075,2071850.43,5615681.629,3009495.379,3890488.568,4012193.327,2792193.063
lysoPC 19_0,221858.6022,327521.2575,87163.75745,175438.2697,628452.153,421860.5207,236888.6216,103984.4865
lysoPC 20_0,338461.0668,354641.2085,66451.81103,180849.6868,1116976.708,837146.0694,651325.2793,149828.5176
lysoPC 16_0,26489931.76,29786177.71,18155041.17,28642914.98,24793998.78,26668093.01,22069334.72,17602936.26
lysoPC 18_0,24981708.19,21495633.26,18843539.34,32374183.75,29692088.64,38152405.79,22109631.27,21880986.94
lysoPC 24_0,167270.9667,195102.4094,63232.51925,114040.3749,206761.0715,105777.0447,79536.96539,49318.84631
lysoPC 20_2,219126.0582,230932.312,72000.91828,194212.642,230465.5893,171702.4359,134569.1299,81703.00707
lysoPC 14_0,57264.23541,52886.80206,15527.84085,35516.27773,29555.69439,27042.87609,23442.26366,8635.652549
lysoPC 21_0,7351.670676,17947.99984,7077.711543,5263.966327,17214.25821,16790.37732,12233.81819,5745.621361
lysoPC 22_0,96509.3108,104654.9434,41445.25703,54544.59028,120285.136,106076.2503,86635.51392,44364.40152
lysoPC 22_4,99822.77386,88290.92656,44282.97564,92618.88104,69922.3766,82323.61488,64146.40434,67043.00572
lysoPC 23_0,13000.40769,35090.2158,28877.07744,100846.0409,19978.00574,49134.84864,7492.53081,11742.53504
lysoPC 15_0,39265.30987,47645.59467,13246.58136,18995.70729,59873.04563,50043.7132,54662.61458,11365.21608
lysoPC 24_4,5526.039946,3207.724045,2596.237592,2503.804954,4963.480659,2336.517756,4165.311732,981.458511
lysoPE 16_0,837429.7908,1089927.982,1429102.807,1082705.105,874659.3389,1367341.672,963261.6418,818374.3243
lysoPE 20_4,2307172.253,1210051.069,1170526.643,1426148.158,1136177.101,1208934.317,1183636.39,930875.2449
lysoPE 22_6,894824.4794,684802.8502,886121.6049,499777.9091,469801.8327,548065.0733,605500.7997,405185.7032
lysoPE 18_0,194693.1847,86659.32653,144982.0659,153808.7545,111004.0624,125236.9388,134811.9754,70867.01443
lysoPE 18_2,168315.4014,166014.9838,143687.3731,71957.61985,246888.4537,218774.5153,280325.3525,79780.01086
lysoPE 20_0,18429.98954,27210.44913,10784.77627,17104.03437,37337.17156,92153.32151,43824.17224,28699.95411
lysoPE 17_0,21422.43063,17693.60143,20049.92658,16603.68525,49021.70397,72085.8758,21388.80301,11231.07035
lysoPE 19_0,10873.97614,15935.23134,21607.29892,16061.91293,22536.17295,27420.86904,22676.70191,10867.77332
lysoPE 22_4,19371.50484,18703.13624,19558.17459,16745.45293,30480.15654,14956.78099,13077.46046,11393.72743
lysoPE 20_2,20682.00975,11436.77746,6448.956171,7703.459218,23259.03005,14822.46428,16753.04986,5899.233767
lysoPE 22_0,2304.577381,3773.336961,5427.05086,2795.318666,2556.565647,5279.179434,3704.842466,4656.065802
MG 16_0,37856.77155,39378.04357,26864.08783,51777.04046,29498.79427,39877.15671,43928.39319,27655.66037
MG 18_2,108121.031,61095.50368,59898.3064,79419.99279,100270.3627,76508.65298,116766.4093,50952.43793
MG 17_0,72421.84176,61547.55675,72551.92167,75288.86021,61635.20021,68196.07908,51135.66851,68280.43614
MG 20_4,74428.48099,51624.12464,45744.2014,66425.67798,87391.1005,70583.11782,82814.37945,28721.93067
MG 18_0,8424.696867,10779.20145,7576.611332,13195.75804,11189.98231,11508.80925,17651.60623,9330.741052
MG 18_4,11464.59392,12992.47396,2774.678777,12072.51521,16701.97664,17362.95887,9408.239756,7684.094841
MG 22_4,3099.902039,6816.230802,3246.921937,7297.390282,9189.065435,7372.368381,6040.190028,3897.758662
MG 20_2,4199.739464,3395.046633,2565.42295,5625.265274,6406.967206,2896.93916,5213.102101,2755.066837
PC 35_4,576750.1593,921996.4151,442284.0132,428622.7232,769138.6923,837592.2543,606423.2028,626772.0569
PC 40_8,16636607.12,12243175.73,3767441.283,14826736.92,17204697.55,14045894.6,11764035.77,9541119.19
PC 34_4,5687827.613,8416108.44,1247009.161,3146732.357,6043668.293,3425741.987,3769369.165,1786334.71
PC 35_2,1671732.426,2778889.327,1249421.12,1525807.726,3092308.532,3179095.171,4390629.956,3648098.581
PC 38_2,8590262.895,14953851.23,4257126.196,11962481.59,19093783.51,16543738.97,13672405.25,11903613.24
PC 37_4,1632499.085,2096541.04,1647574.323,1641305.121,3086600.088,3421573.998,2997650.127,5136270.935
PC 40_2,414118.8144,588495.8094,265493.65,553721.8703,598658.8568,565819.9709,482388.12,527311.9756
PC 33_2,1089534.924,1957419.549,687072.8764,892116.3799,1380434.191,1604398.184,1664763.416,1764205.167
PC 32_0,20411243.56,22349057.93,20893653.7,21245098.59,18862187.76,21762398.17,18090625.94,28044567.39
PC 44_12,322541.4335,276760.8114,108393.5506,226136.2937,279118.9621,162715.5833,165767.972,88983.23461
PC 39_4,1116055.869,2018528.17,1306216.544,928047.0817,2601482.499,2314760.991,1741456.922,2695911.423
PC 39_6,575835.4319,557892.7075,309933.9359,522529.8954,958061.468,1076822.795,1169644.298,1363385.017
PC 36_6,3709065.949,6386483.895,928820.8013,3952895.418,2410228.421,1929976.164,1288366.989,1738725.685
PC 32_2,6041725.479,16473828.89,2795895.61,6403512.564,4692390.166,3757092.687,4566134.452,2907735.838
PC 42_8,106262.8233,140479.8767,54841.32196,108059.6653,211967.1701,149641.2571,84496.37803,79638.91553
PC 37_6,629283.3398,871726.2275,179099.5063,550940.477,862891.342,772575.5097,638936.6046,761186.2862
PC 42_2,116679.5702,166616.061,79247.48875,131773.5409,145450.0074,139243.4634,88233.12403,112717.9663
PC 36_2,38660045.36,61017543.76,32629936.69,33579186.76,49344963.04,38882890.56,46819883.39,28102103.39
PC 37_2,1129955.142,3508322.27,974269.0816,949857.4987,3214473.976,2240938.987,3107393.838,1685045.061
PC 42_10,3802396.921,4211523.187,690027.7745,3580542.292,6510259.615,3338896.938,3098987.162,1259214.668
PC 36_0,363709.9923,175032.4741,69536.04481,192602.2541,462676.4832,287323.1398,186985.3844,154711.4806
PC 41_6,187080.3906,336085.2173,118051.6105,135451.7057,602750.3939,400337.9292,318222.8725,189706.3027
PC 38_8,414444.7612,779602.1428,72204.51269,340235.0438,562997.3612,346028.9285,304795.3742,252937.6406
PC 40_6,13024462.38,15635351.63,14050316.29,16288372.56,16799437.08,18907753.64,16914926.95,25343482.43
PC 42_6,461363.9381,804694.8242,243366.6669,562970.6263,982726.5294,945841.1728,938737.1176,713465.5745
PC 35_0,169177.6242,285480.1308,71659.83639,163029.8466,271897.5626,185218.8711,206416.1696,149912.4004
PC 40_10,108058.3568,150039.5328,78791.33918,117216.5163,117364.7419,97050.49388,118505.0156,131448.1436
PC 44_4,102551.1542,109890.1127,86820.18524,145084.2944,113878.4723,92122.29563,48038.68533,117314.1678
PC 28_0,47702.56497,77102.87808,40138.90012,38833.57765,31107.27312,22837.69989,28078.82712,8777.101889
PC 30_2,258110.7398,169261.1135,31518.39491,48964.35539,80793.98384,82570.34101,102463.5714,17647.57547
PC 31_0,45054.67026,55069.81781,36596.5279,31172.69572,40273.91977,30761.32317,31807.31094,19626.09421
PC 42_4,117202.9188,120908.6618,99066.87173,165525.8621,201917.6518,237840.4041,122208.5043,230190.2601
PC 39_8,35951.7193,60511.12929,11861.17441,40793.46243,57623.36299,47924.69487,27457.34582,41253.74222
PC 37_0,115008.2877,88764.14796,23010.03932,91589.85717,139290.6992,85485.5623,79915.21199,36848.34283
PC 40_4,31766.07196,39381.13918,16596.90882,40516.94967,70669.81163,62148.64007,34510.67606,52569.18581
PC 39_2,59411.05954,154608.4339,39655.9888,72513.37059,119791.8199,82679.62802,78145.6217,74453.52756
PC 36_4,144724.8217,206966.7798,14346.94225,57808.9131,248983.3877,137352.9678,252518.9198,42508.41596
PC 18_0,11049.31747,51427.07388,14045.0357,32755.16018,39357.7451,19860.85834,9848.826266,16258.85659
PC 38_6,52208.10523,68597.9797,94328.93466,89627.7194,18024.87896,26846.51813,76581.80497,139297.5589
PC 38_0,23787.47641,41243.8465,16268.96211,33920.19301,87208.19936,78779.13752,48458.68638,33774.12738
PC 33_4,26051.30533,31548.11916,8166.240967,18678.923,33949.17822,8049.758075,14822.91444,8654.165618
PC 32_4,146419.8205,80301.48635,10336.24581,36524.50874,67710.31912,38192.64985,32686.04718,7332.630698
PC 20_2,16415.48076,64321.46191,9659.310557,48250.99939,66320.7398,17821.76631,23147.69002,11718.98555
PC 19_2,16978.27175,11060.54048,5451.619996,10034.7294,12063.06409,7287.861213,8638.802948,4389.165026
PC 33_0,108743.7272,147778.8952,56511.03213,99216.27772,92520.75295,125333.3885,131375.1541,154769.7677
PC 40_0,42705.75037,123011.8824,82790.35867,280473.8271,50238.34159,85713.31859,23326.28751,85596.07248
PC 44_6,27666.70102,73003.48082,149204.0617,221641.6237,43332.54568,150670.452,24167.15347,67628.74279
PC 38_4,21062.81178,44454.39428,30368.96132,17513.02903,22183.79441,28253.47055,22710.14756,40620.33996
PC 43_6,15039.60634,35110.19228,3294.985402,5394.49689,33441.06726,25729.36636,29132.56162,24995.56074
PC 28_2,9476.145481,5027.252935,4093.918812,17932.85431,3236.615719,4298.185407,2898.645254,1691.130154
PC 39_0,19812.56242,16408.10001,5862.265638,26310.16516,25455.85708,29542.72459,14494.58655,32292.97702
PC 17_0,5159.972962,2065.138161,660.040542,532.2470935,3193.704363,2134.793429,11976.49825,268.4094543
PC 31_2,47126.10248,89934.05873,10882.07759,26774.84431,50473.53492,18945.69672,19737.78356,6870.437932
PC 41_4,57930.14552,89654.94655,17448.45018,45259.68643,96009.87603,52778.12263,52903.30732,46122.41823
PC 31_4,66960.71538,178939.0058,58881.52047,62326.33797,83909.10657,53263.43726,33939.7603,29696.42368
PC 24_6,4922.614318,13309.79421,6030.813624,9026.230127,16874.8372,6472.997431,9493.671161,2354.923887
PC 29_0,19274.89922,14842.03384,10154.71554,9189.308911,22386.75083,10326.71445,16623.28751,6414.599117
PC 30_4,5189.048987,5030.571746,7328.642317,8069.009625,2058.910905,3990.190918,1107.802783,2447.819418
PC 30_0,16509.70314,21469.19308,5886.370362,12408.86557,16980.7532,17562.09865,18951.3538,16372.44051
PC 19_0,29521.1984,18561.63294,6124.767934,22542.35033,20529.65914,20173.14965,20263.0962,8357.569747
PC 7_0,9641.29031,5956.118593,2818.175062,1780.899245,7198.565071,7704.89846,14693.4893,3755.975972
PC 12_0,4039.38266,3053.750247,1456.967247,2684.393268,10835.53869,5252.802716,8058.025724,4416.776869
PC 45_4,7818.195433,6319.53344,9274.25433,4552.988536,12466.63762,24298.3285,14193.58985,20528.92468
PC 22_4,7597.921832,32536.18385,12112.30511,40079.99902,33130.64957,10735.05485,5184.793189,11225.90943
PC 21_4,4567.415264,10441.67557,15555.38329,16741.62564,3206.272182,3656.863174,842.134293,4768.569426
PC 26_0,9798.972309,3614.625516,925.8533616,4995.843253,3565.261356,3688.427612,1999.670703,1382.614243
plasmenyl-PC 18_0,1167776.323,611550.804,579190.3455,906746.2143,532865.4769,445126.7857,456486.9717,227324.0183
plasmenyl-PC 20_0,215306.7842,132427.7536,43727.3338,109664.1797,82292.38308,43563.83045,73479.76128,21752.13183
plasmenyl-PC 40_4,7950.937394,7339.246891,10821.90505,4918.730301,3388.973776,4275.04761,6689.73385,6938.802797
plasmenyl-PC 36_4,32120.1472,15016.67954,6446.214372,18976.95453,31198.98369,8094.758727,32264.97847,15708.55926
PE 36_0,2950502.691,2812657.295,4371381.151,2472863.247,5044297.969,5399997.1,4831183.806,4502352.22
PE 39_6,207427.856,262900.7479,242221.3911,158566.7543,414817.5761,516932.7275,462769.4766,590307.6497
PE 34_2,1654014.574,2837769.447,3267901.979,1360036.685,2400897.004,3679819.754,4753007.818,3095546.421
PE 39_4,746101.1094,1319874.985,370571.2046,427543.1394,1236847.605,1127122.897,1192446.014,807930.2767
PE 40_4,2251760.125,2724345.714,931403.3316,1539761.526,4068880.414,3762456.14,3105052.212,2227139.883
PE 36_6,168283.8689,444548.9603,149134.3329,178172.6128,149743.6995,150297.1223,120784.5292,132628.361
PE 38_2,985450.0581,1116099.52,858700.7208,723202.6576,1753294.261,1676523.69,1537572.369,1051292.586
PE 36_2,2231304.83,3683654.822,3759961.907,1588285.725,7190343.906,5377166.02,4531314.102,2521572.083
PE 40_8,905363.9508,819489.6422,863086.2926,827511.7316,1093365.28,1050072.783,1024264.304,1163958.547
PE 36_4,7771904.134,11652940.94,8731007.042,7499681.556,9677994.231,9140681.127,8868546.257,5444926.872
PE 38_4,16315.95363,8181.039471,5897.548708,13676.23026,38792.24679,34475.83777,7924.164084,11232.10033
PE 40_6,3255316.394,3545673.845,5838497.416,2476882.234,5124508.729,5551915.381,4850214.766,2955963.353
PE 37_6,85389.99762,160282.4482,111553.8868,73299.62354,130318.0411,186384.59,155645.2372,212196.3315
PE 32_2,48205.05554,146602.1259,66526.83207,38136.28109,45862.16387,34229.65445,47294.98543,14811.58642
PE 37_4,200034.0792,241050.3114,172907.024,121203.8896,411305.112,390305.7494,400701.4026,359256.7624
PE 42_6,162720.0493,210499.0072,109691.9235,93773.25468,331065.137,454648.1733,387113.4353,243075.5654
PE 37_2,108962.0043,186052.92,104943.5385,177022.0542,264739.7287,279022.8856,310404.4327,284901.6318
PE 41_6,152771.7086,184857.9437,252438.3135,70576.35881,163240.7088,219970.5569,290569.3222,143362.8084
PE 34_4,19212.55743,22007.28096,2670.319536,20362.13177,36927.04102,18283.97201,29297.66486,12285.56398
PE 40_2,209511.8315,286064.384,67600.00415,234478.4139,363532.0596,268081.5355,198442.5323,273438.6437
PE 42_8,36370.04315,73008.08357,42449.56732,39328.67269,67775.29988,55514.74446,53095.78754,52272.0231
PE 42_10,169207.2551,203536.4329,162972.4949,140592.0689,179049.8654,204574.5292,148556.7229,232577.0993
PE 21_4,28729.63866,25478.30295,17031.19,11596.02153,25639.54958,16907.00414,16377.06212,6197.824617
PE 32_0,26961.218,26987.44771,22995.2587,15153.4799,26360.45427,23860.65493,21102.52985,14586.19598
PE 44_12,158646.8525,165753.088,93459.25705,163096.0915,170462.5733,162323.5413,130699.5874,183100.2549
PE 35_4,7164.777595,19805.7328,18837.76384,10627.88476,17795.8256,12749.73225,21978.67907,30051.44578
PE 34_6,716.9200736,5579.079819,4113.310654,6849.825061,2337.050513,5951.593176,1058.741898,2417.568489
plasmenyl-PE 40_6,865245.366,877258.4527,457687.0745,503964.4764,1196896.701,838223.1532,1012475.221,677569.0771
plasmenyl-PE 38_6,551636.8606,692422.8089,647712.0521,643281.5143,647985.2774,647279.323,647632.9976,1024499.584
plasmenyl-PE 38_4,2614453.441,3021126.812,1594920.385,2137410.958,4528898.391,3083691.651,2797067.212,2663526.967
plasmenyl-PE 36_2,251925.8975,228417.3465,226500.1208,210048.7872,247252.3894,184549.6973,222617.9872,165162.9593
